dust_mean,dust_trend,temp_mean,hum_mean,power_mean,brushRpm01,waterFlow01,pressure01,passes01,detergent01,route_keep,route_zigzag_thin,route_zigzag_wide,route_spiral_focus,aggressive_target
0.5344797127535117,0.2012071211291533,30.9424814470689,88.42268962823198,114.93342390059973,1.0,1.0,1.0,1.0,0.1,0.0,0.9,0.0,0.1,1
0.23187612010045117,0.01802818646283104,51.14028905297106,58.69650672308857,235.76331506726734,0.5,0.45,0.5,0.637719413196762,0.04110277331382314,0.17669168005853056,0.6644110932552926,0.11779445337235371,0.04110277331382314,0
0.48306016473817354,0.1008670735744098,46.09399953635137,70.70840174963462,175.5733053939799,0.697581484258577,0.7034108117952828,0.697581484258577,0.8383070389810039,0.0697581484258577,0.0907255547224269,0.7790325937034308,0.0604837031482846,0.0697581484258577,0
0.6748217284609187,0.04050887414569154,26.50877718853273,28.605371909813293,205.49631081392366,0.9684674847975929,0.9200441105577133,0.9684674847975929,1.0,0.0968467484797593,0.006326451934662118,0.8901939995012738,0.006326451934662118,0.09715309662940205,1
0.9174617174142603,0.049279087341291716,50.50196070767698,49.70807871874206,194.84397097759413,0.8492790873412918,0.8265232116929692,0.8492790873412918,0.9444953611389042,0.08492790873412918,0.04521627379761246,0.8397116349365166,0.030144182531741642,0.08492790873412917,0
0.08807879641506952,0.10019300456838276,44.289198043100576,39.02206725868526,237.95563673770624,0.5,0.45,0.5,0.6651351031978678,0.045019300456838274,0.16494209862948517,0.6800772018273531,0.10996139908632346,0.045019300456838274,0
0.4630331288758554,0.0581001959715515,47.587237334059665,54.296658826574976,211.010243694591,0.8434346750860474,0.82555960015832,0.8434346750860474,0.9404042725602332,0.08434346750860475,0.03181111676602536,0.8506927690126607,0.03181111676602536,0.08568499745528858,1
0.4389181031626179,0.017457779720462044,51.097836215139154,58.77688127495521,186.6971876364571,0.5828801300866461,0.582513004857269,0.5828801300866461,0.7580160910606522,0.05828801300866461,0.1251359609740062,0.7331520520346585,0.0834239739826708,0.05828801300866462,0
0.8013823356808588,0.03828123986044547,31.250224353167834,63.48960013684124,199.12104724318544,0.8382812398604456,0.8298567780042645,0.8382812398604456,0.9367968679023119,0.08382812398604456,0.04851562804186633,0.8353124959441782,0.03234375202791089,0.08382812398604456,0
0.68285440828668,-0.10927152089490764,25.146895368131684,61.687106213972655,193.4689119689333,0.9327937726588049,0.9178411902398372,0.9327937726588049,1.0,0.0932793772658805,0.013532190213429824,0.8790251051691838,0.013532190213429824,0.09391051440395659,1
0.04170555604431562,0.06954923101400659,39.39220814198792,68.70690146084657,169.51124607011212,0.5,0.45,0.5,0.6436844617098045,0.04195492310140066,0.17413523069579803,0.6678196924056026,0.1160901537971987,0.04195492310140066,0
0.32280955682155804,-0.010093338782332775,39.233714078008084,59.59995967164692,195.7207382719261,0.5,0.4822712847758095,0.5,0.6835472921820145,0.047649613168859226,0.1570511604934223,0.690598452675437,0.10470077366228155,0.047649613168859226,0
0.2400503344077518,0.08251213966015136,38.20226931301252,51.306085928886816,175.61905262967713,0.6409137233992922,0.6301741231582144,0.6409137233992922,0.7986396063795045,0.06409137233992922,0.0744921668014051,0.784537141457822,0.0744921668014051,0.06647852493936769,1
0.5028277839578383,0.02964217702307866,35.78555737973756,38.59631786251017,161.21031375576865,0.6400464391750037,0.6166404350787636,0.6400464391750037,0.7980325074225025,0.06400464391750037,0.10798606824749889,0.7560185756700015,0.07199071216499926,0.06400464391750037,0
0.8482033865469936,-0.04124277554506897,47.51504340440401,59.350566940778336,174.99662573131832,0.8,0.7893505669407783,0.8,0.9099999999999999,0.08000000000000002,0.059999999999999984,0.8200000000000001,0.039999999999999994,0.08000000000000002,0
0.5628878510583442,0.04432865285246596,23.08205923568514,33.021206098733174,214.7098756712646,0.9010859909994637,0.8590528975482237,0.9010859909994637,0.9807601936996245,0.09010859909994638,0.019980436305765563,0.8690303237260634,0.019980436305765563,0.09100880366240549,1
0.37322205700864514,0.11010303805619806,42.94835932273956,61.839033075613614,166.47896200810723,0.6266643245853236,0.627170141431671,0.6266643245853236,0.7886650272097264,0.06266643245853236,0.11200070262440291,0.7506657298341295,0.07466713508293528,0.06266643245853236,0
